,type,size,Algorithm,time_ms,copy_count,memory_kb
109,Random,10000,Cocktail Shaker Sort,126.4758,75097015,2088
110,Random,10000,Comb Sort,1.556606,181154,3772
111,Random,10000,Heap Sort,0.9948284,372636,3748
112,Random,10000,Insertion Sort,48.87984,24977059,2148
113,Random,10000,Intro Sort,1.1528639999999999,238200,3980
114,Random,10000,Library Sort,35.49687,69999,3752
115,Random,10000,Merge Sort,0.9916714000000001,287230,4020
116,Random,10000,Quick Sort,0.5729143999999999,270771,3936
117,Random,10000,Selection Sort,71.18877,29968,2092
118,Random,10000,Tim Sort,1.53319,278383,3836
119,Random,10000,Tournament Sort,0.9435306000000001,202767,4052
120,Random,100000,Bubble Sort,15850.460000000001,7509865489,4136
121,Random,100000,Cocktail Shaker Sort,16239.8,7494745075,4088
122,Random,100000,Comb Sort,19.24561,2357380,4032
123,Random,100000,Heap Sort,12.68473,4724844,4008
124,Random,100000,Insertion Sort,5799.035,2496843530,4160
125,Random,100000,Intro Sort,15.82166,3184158,4240
126,Random,100000,Library Sort,3352.3830000000003,699999,4392
127,Random,100000,Merge Sort,11.98271,3537854,4544
128,Random,100000,Quick Sort,6.849095,3428429,4196
129,Random,100000,Selection Sort,7171.2029999999995,299960,4080
130,Random,100000,Tim Sort,19.61493,3608291,4624
131,Random,100000,Tournament Sort,15.06468,2262143,6164
132,Random,1000000,Bubble Sort,1916293.0,749626571206,7624
133,Random,1000000,Cocktail Shaker Sort,1607270.0,750317682462,7580
134,Random,1000000,Comb Sort,246.0029,29242039,7660
135,Random,1000000,Heap Sort,198.1411,57145348,7636
136,Random,1000000,Insertion Sort,556293.2,250121398533,7608
137,Random,1000000,Intro Sort,183.2859,38414774,7868
138,Random,1000000,Library Sort,331567.9,6999999,8036
139,Random,1000000,Merge Sort,136.5471,41902846,11604
140,Random,1000000,Quick Sort,79.77762,40767955,7824
141,Random,1000000,Selection Sort,719483.9,2999955,7568
142,Random,1000000,Tim Sort,256.69849999999997,45324368,11684
143,Random,1000000,Tournament Sort,273.23879999999997,25097151,23836
144,50% Sorted,1000,Bubble Sort,0.9565963,588654,2068
145,50% Sorted,1000,Cocktail Shaker Sort,0.9895551000000001,588654,2088
146,50% Sorted,1000,Comb Sort,0.0682391,12918,3772
147,50% Sorted,1000,Heap Sort,0.052983,27978,3748
148,50% Sorted,1000,Insertion Sort,0.3489564,198216,2148
149,50% Sorted,1000,Intro Sort,0.0676163,24044,3980
150,50% Sorted,1000,Library Sort,0.3960728,6999,3752
151,50% Sorted,1000,Merge Sort,0.0519211,21950,4020
152,50% Sorted,1000,Quick Sort,0.0252635,25762,3936
153,50% Sorted,1000,Selection Sort,0.9190887,2970,2092
154,50% Sorted,1000,Tim Sort,0.055044,13718,3836
155,50% Sorted,1000,Tournament Sort,0.037035,15047,3792
156,50% Sorted,10000,Bubble Sort,92.98438999999999,56634492,2068
157,50% Sorted,10000,Cocktail Shaker Sort,93.82637,56634492,2088
158,50% Sorted,10000,Comb Sort,1.7517029999999998,184050,3772
159,50% Sorted,10000,Heap Sort,0.9861176,381696,3748
160,50% Sorted,10000,Insertion Sort,39.158500000000004,18898162,2148
161,50% Sorted,10000,Intro Sort,1.1860260999999999,228588,3980
162,50% Sorted,10000,Library Sort,28.05746,69999,3752
163,50% Sorted,10000,Merge Sort,0.7718415000000001,287230,4020
164,50% Sorted,10000,Quick Sort,0.4754818,251473,3936
165,50% Sorted,10000,Selection Sort,74.12599,29982,2092
166,50% Sorted,10000,Tim Sort,1.041273,149820,3839
167,50% Sorted,10000,Tournament Sort,0.9213321999999999,202767,4052
168,50% Sorted,100000,Bubble Sort,10366.630000000001,5646017934,4136
169,50% Sorted,100000,Cocktail Shaker Sort,9902.133,5646017934,4088
170,50% Sorted,100000,Comb Sort,19.880879999999998,2380782,4032
171,50% Sorted,100000,Heap Sort,12.90239,4827138,4008
172,50% Sorted,100000,Insertion Sort,4186.759,1882205976,4160
173,50% Sorted,100000,Intro Sort,15.367740000000001,3922325,4240
174,50% Sorted,100000,Library Sort,2453.962,699999,4392
175,50% Sorted,100000,Merge Sort,9.215554000000001,3537854,4544
176,50% Sorted,100000,Quick Sort,6.285285,4136230,4196
177,50% Sorted,100000,Selection Sort,7241.750999999999,299946,4080
178,50% Sorted,100000,Tim Sort,11.31952,1903051,4631
179,50% Sorted,100000,Tournament Sort,11.926829999999999,2262143,6164
180,50% Sorted,1000000,Bubble Sort,1628052.0,561406329396,7624
181,50% Sorted,1000000,Cocktail Shaker Sort,1162083.0,561406329396,7580
182,50% Sorted,1000000,Comb Sort,244.1099,29497278,7660
183,50% Sorted,1000000,Heap Sort,176.25150000000002,56668872,7636
184,50% Sorted,1000000,Insertion Sort,418235.7,187137443130,7608
185,50% Sorted,1000000,Intro Sort,602.5441,40907003,7868
186,50% Sorted,1000000,Library Sort,251755.5,6999999,8036
187,50% Sorted,1000000,Merge Sort,110.508,41902846,11604
188,50% Sorted,1000000,Quick Sort,75.43402,43257947,7824
189,50% Sorted,1000000,Selection Sort,700513.9,2999940,7568
190,50% Sorted,1000000,Tim Sort,135.9992,23655472,11692
191,50% Sorted,1000000,Tournament Sort,182.8626,25097151,23836
192,99% Sorted,1000,Bubble Sort,0.6456427,15831,2068
193,99% Sorted,1000,Cocktail Shaker Sort,0.0338765,15831,2088
194,99% Sorted,1000,Comb Sort,0.059502,5097,3772
195,99% Sorted,1000,Heap Sort,0.0593233,29151,3748
196,99% Sorted,1000,Insertion Sort,0.0203875,7275,2148
197,99% Sorted,1000,Intro Sort,0.11396809999999999,25695,3980
198,99% Sorted,1000,Library Sort,0.1340296,6999,3752
199,99% Sorted,1000,Merge Sort,0.049633,21950,4020
200,99% Sorted,1000,Quick Sort,0.0473989,17997,3936
201,99% Sorted,1000,Selection Sort,0.6044405,2979,2092
202,99% Sorted,1000,Tim Sort,0.0170312,2037,3844
203,99% Sorted,1000,Tournament Sort,0.0426307,15047,3792
204,99% Sorted,10000,Bubble Sort,67.4801,1628082,2068
205,99% Sorted,10000,Cocktail Shaker Sort,3.193606,1628082,2088
206,99% Sorted,10000,Comb Sort,1.4539659999999999,106290,3772
207,99% Sorted,10000,Heap Sort,0.8666980000000001,396492,3748
208,99% Sorted,10000,Insertion Sort,1.2083905,562692,2148
209,99% Sorted,10000,Intro Sort,2.552724,376005,3980
210,99% Sorted,10000,Library Sort,1.9767160000000001,69999,3752
211,99% Sorted,10000,Merge Sort,0.6048081,287230,4020
212,99% Sorted,10000,Quick Sort,1.698855,777129,3943
213,99% Sorted,10000,Selection Sort,57.756989999999995,29946,2092
214,99% Sorted,10000,Tim Sort,0.1687105,21485,3844
215,99% Sorted,10000,Tournament Sort,0.8039958,202767,4052
216,99% Sorted,100000,Bubble Sort,7448.986999999999,149216202,4136
217,99% Sorted,100000,Cocktail Shaker Sort,316.7412,149216202,4088
218,99% Sorted,100000,Comb Sort,15.2062,1550430,4032
219,99% Sorted,100000,Heap Sort,10.82569,4967538,4008
220,99% Sorted,100000,Insertion Sort,94.30278,49938732,4160
221,99% Sorted,100000,Intro Sort,26.58423,7033533,4240
222,99% Sorted,100000,Library Sort,83.01641,699999,4392
223,99% Sorted,100000,Merge Sort,7.203055999999999,3537854,4544
224,99% Sorted,100000,Quick Sort,28.84343,34295656,4222
225,99% Sorted,100000,Selection Sort,6776.963000000001,299916,4080
226,99% Sorted,100000,Tim Sort,1.285673,223450,4368
227,99% Sorted,100000,Tournament Sort,8.337382,2262143,6164
228,99% Sorted,1000000,Bubble Sort,750967.3,14897644680,7624
229,99% Sorted,1000000,Cocktail Shaker Sort,32993.37,14897644680,7580
230,99% Sorted,1000000,Comb Sort,210.2274,21076230,7660
231,99% Sorted,1000000,Heap Sort,121.84700000000001,59472264,7636
232,99% Sorted,1000000,Insertion Sort,11015.689,4967881558,7608
233,99% Sorted,1000000,Intro Sort,346.6255,62589030,7868
234,99% Sorted,1000000,Library Sort,6905.027,6999999,8036
